Organization,Address,Reviewer,Review Title,Review,Review Count,Helpful Count,Restaurant Count,Location,Rating Date,Rating
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Ekaterinaaaa,Mixed platter was good,My husband and I ate there before a show last night. He ordered the mixed meat platter and loved it. I ordered the Barra with cous cous. To be honest my meal was dry and a bit of a disappointment. The garlic mushrooms on the tapas menu were sensational. Our server was friendly and attentive. I think the message here...   More,52,45,25,Sydney  New South Wales,January 4  2013,3
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Monaro666,Decent food,My family and I decided to dine here for lunch before going to the movies. I tried the deluxe chicken burger. It was a bit bland but not too bad. However the chips were so good! I couldn't stop eating them!! Overall not fantastic but not too bad either.,4,1,0,Sydney  New South Wales,December 26  2012,3
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Monaro666,Dont wast your time,my wife and i ate prior to the circus  i got there best stake  it was tough and very chewy  it only came with chips for $30 odds dollars  i have had better for $10 at the local pub. my with got the Peri Peri chicken  it to was very dry  the sauce well you can get better from your...   More,4,1,0,Parramatta  Greater Sydney,November 18  2012,2
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,Amy F,Would not eat agian,my wife and i ate prior to the circus  i got there best stake  it was tough and very chewy  it only came with chips for $30 odds dollars  i have had better for $10 at the local pub. my with got the Peri Peri chicken  it to was very dry  the sauce well you can get better from your...   More,31,13,23,Loftus  Australia,November 18  2012,2
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,perth4me,Dont bother,Four of us ate at Ablaze before going to see Cirque du soliel. My brother and i shared a few tapas and my mum got the chargrilled chicken and my sister in law the barrumundi. We were very disappointed in our meals  the price was high and the food lacked any care in presentation and was mediocre. My mothers chicken...   More,80,52,46,Sydney  Australia,November 15  2012,2
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,richo21282,Tasty tapas!,Decided to eat here as daughter was at The Hi Fi and I did not want to go back to the hotel and return again later in night. Chose Ablaze due to their children's menu choices. We only waited 5 minutes before being seated. We noted that the staff appeared a little overwhelmed and found out it was a kitchen...   More,182,70,91,Sydney  Australia,July 30  2012,4
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,coljanford,Better than most at the Entertainment Quarter,Have dined at most of the eateries when visiting Entertainment Quarter to catch a movie  football or comedy store. I like Ablaze best and went there again on the weekend prior to catching a movie. A couple of tapas for entree and mains left no room for desert. Good value allround.,40,29,17,Sydney  Australia,May 29  2012,4
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,selkielikesit,Great Tapas,Ate here with my wife prior to a concert at the Hordern Pavilion. Neither of us was too hungry but decided to have the Tapas as the selection sounded mouthwatering and varied. We were certainly not disappointed as each of the ample sized portions arrived promptly. Our selection of bread with baba ganoush and houmos was quickly followed by garlic...   More,26,8,12,Sydney  Australia,March 28  2012,5
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,selkielikesit,Tasty ribs and rich desserts,I know ribs and this place has some delicious ones! Full rack on chips with salad. Good value for money. The only thing I didn't like was that it was a bit hard to find and the waiters had a slight language barrier. The desserts were nice but I've had better for cheaper. Get dinner there for sure though and...   More,26,8,12,Perth  West Australia,December 10  2011,3
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,HappyAUSMackay,The Entertainment Quarter is not known for great food  but this is a place we haven't been to  so we gave it a try...,The Entertainment Quarter is not known for great food  but this is a place we haven't been to  so we gave it a try  because they interestingly have tapas on its menu. We ordered three tapas and a bowl of wedges to share  and the servings are pretty small  even for tapas. We had chorizo  garlic... read more,1,2,0,Sydney  New South Wales,June 29  2009,3
Ablaze Grill + Bar,The Entertainment Quarter - Fox Studios Level 1 Shop 211 Driver Avenue (Lang Road) Sydney New South Wales 2021 Australia,JenolanCabins,Stay away; Food very disappointing  WHAT service,Three times they come out with our main meal before our entree My main meal was that hot in taste i could not eat it Nothing on the menue to say the dish was that hot My wife asked for a medium rear steak and was told" it is served as medium only" Sounds like hospital food In fact hospital...   More,12,10,0,Sydney  New South Wales,February 6  2010,1
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,Jeannine2016,Downhill - pretty young wait staff don't cut it,I've been here before and written good reviews and many more time without writing a review. I came a week ago and was far from impressed. First up went to the bathrooms - not as clean as I've experienced in the past (cleanliness of bathrooms indicates the cleanliness of kitchen  in my view). Sit... read more,1,0,0,Sydney  Australia,29 December 2015,3
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,Razar88,Worst Experience,I have been to this place many times in the past - with friends  with family and with work. It has had amazing service  generous size meals and great value for money. I cannot say enough bad things about my recent visit  Toilets were disgusting  Food I paid $45 for a steak the size of a .50c coin some chips...   More,60,66,43,Concord  Greater Sydney,3 weeks ago,1
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,Mischiefdebs,Downhill - pretty young wait staff don't cut it,I've been here before and written good reviews and many more time without writing a review. I came a week ago and was far from impressed. First up went to the bathrooms - not as clean as I've experienced in the past (cleanliness of bathrooms indicates the cleanliness of kitchen  in my view). Sit back at the table and food...   More,73,38,38,Concord  Greater Sydney,29 December 2015,3
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,Krisy64,New owners = decrease in quality,I've been here twice and both times has been pretty average both in service and food quality. It was a group dinner and no-one had a decent meal. Meal prices were high for the quality provided. Service was average also. The owners also seem to place a higher level of importance that their staff are young  attractive and female instead...   More,37,22,14,Concord  Greater Sydney,16 December 2015,2
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,steve w,Food poisoning !! Avoid this place,Never will we eat here again!!! ....every time we have had a group booking the food has been very second hand...But Saturday was the worst. Food poisoning after eating here ! The "crispy' fish and prawn Dish was soggy and fatty. Did not eat it all.... Not sure what kind of 'chef' they have in the kitchen  but sure do...   More,146,48,61,Concord  Greater Sydney,16 December 2015,1
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,Gettinggrumpy2014,Looks an interesting restaurant but its just average,Located on the ground of Fraser Motorcycles this restaurant has the style of the old steakhouse franchises from years ago My wife and I thought it only average with meals and service . It is a buzz though checking out all the motorcycles next door. Plenty of parking though awkward to get into due to its location. Just average in...   More,6,10,5,Concord  Greater Sydney,14 September 2015,3
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,Miles B,Disappointing,We ate here as a family and were very disappointed. Staff were not attentive  we had to ask to order drinks  food and pay the bill. My sons caramel milk shake tasted like warm sweet milk with some sauce around the glass  not even blended in. 2 of the party silently ate half of their burgers  when we find out...   More,204,88,98,Concord  Greater Sydney,13 September 2015,1
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,Emjay W,Far different from the first visit,This is my 2nd review for this establishment  my last review had 5 stars  however  I've had to jump back on here to re-review this place as my visit last night was pretty disappointing. I took my father here for Fathers Day as he had not been before. I had only been once before back in March and it was...   More,44,28,25,Concord  Greater Sydney,7 September 2015,2
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,VargDunne,Easy relaxed style eatery and cafe.,Great restaurant with an open style dining area  TV's on the walls and an outdoor area also. The Harley bike shop is adjoining this restaurant so lots of bikes parked outside but no problem finding parking usually. Food is typical of pub style and has never disappointed us.,8,8,4,Concord  Greater Sydney,4 September 2015,4
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,Jon N,Extremely poor service  long wait times,When I first called to make a booking the person on the phone forgot the name of the restaurant. The waitstaff did not see us for 10mins and when we wanted to order drinks  entrees and mains. The waitress just walked off after getting the drinks order. When we ordered the mains  the waitress was confused of when for her...   More,1,4,0,Sydney  Australia,9 August 2015,1
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,Anthony H,Not up to recommendations,As a very experienced steak sandwich fan  I chose this as a lighter option with all the works (ie bread for carbs  greens inside). At the price I assumed it would be a decent steak  however upon opening the bun I found what looked like the scraps you cut off the sides when you don't want... read more,5,2,4,Sydney  Australia,February 9  2015,2
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,Miles B,Great food and great staff,Went along with my wife and son from New Zealand. Although the restaurant was fully booked they were able to provide us with a table before the another party arrived. The staff were very friendly and our watress Lousie was great attending to all our needs with politeness and very prompt service. The meal was great although next time when...   More,204,88,98,Concord  Greater Sydney,April 18  2015,5
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,jdmj3,Pleasantly Surprised  Better Than Expected,Simply outstanding. I came here last Friday night with some good friends. I had driven past this place heaps of times and never really knew what it was like. Glad I eventually went  very nice atmosphere and friendly staff. Heaps on the menu to choose from at reasonable prices. I order the New Yorker Steak and it was cooked just...   More,46,24,8,Concord  Greater Sydney,March 14  2015,5
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,philipargy,Not up to recommendations,As a very experienced steak sandwich fan  I chose this as a lighter option with all the works (ie bread for carbs  greens inside). At the price I assumed it would be a decent steak  however upon opening the bun I found what looked like the scraps you cut off the sides when you don't want them. The others meals...   More,76,65,44,Concord  Greater Sydney,February 9  2015,2
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,DJ_Mizit,Torque is worth talking about!,This is our fifth or sixth visit and we still love the place - that has to tell you something when we are pretty demanding. We look for good quality food served while it's still hot  reasonable service with a smile  all guests getting their food at about the same time  reasonable value and nearby parking. Torque has scored well...   More,376,165,200,Concord  Greater Sydney,October 18  2014,5
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,Katherine J,Awesome food and interesting store,Was recommended to try this place by a relative whilst visiting Sydney. The food is great and the interior as well as the exterior is wonderfully creative. Walking in gives you a step back in time feel to the traditional American diner feel. The service is great and the bike shop next door is huge. Parking is great  can park...   More,59,19,37,Concord  Greater Sydney,February 19  2014,4
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,Debbie_22382,Great food  excellent service,Have been here a few times now. Food is always very good and the service is great. The staff have got the perfect balance. They don't bother you every five minutes  but are always around just as you finish your drink!,37,32,20,Concord  Greater Sydney,January 17  2014,4
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,Glenn N,It has that American diner feel,This place is great for families with kids or even a couple just wanting a decent burger and chips. Food here is great and servings are big. The restaurant itself is really well put together and really big inside  not what you would expect on Parramatta Road. The staff were really good and we got chatting to the manager who...   More,153,87,93,Concord  Greater Sydney,January 16  2014,4
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,DiBecker,Nice Coffee and nice Bikes,After attending Fraser Motorcycles 5th Birthday with a couple of friends we all decided to head next for a coffee and a bite at the adjoin torque bar and grill what a good decision. The wait staff were quick to hand us our menus and take our orders and the meals and coffee arrived with out delay and both the...   More,194,99,91,Concord  Greater Sydney,November 2  2013,4
Torque Bar & Grill,153-165 Parramatta Road North Strathfield Sydney New South Wales 2137 Australia,Razar88,Family Music Venue with food,We went to see a 50s rockabilly band here and I was quite impressed. The drink prices were'nt over the top and the food is quite reasonable and served quicky and hot. Its a family venue so I could take my 16 year old daughter along. We had a good night.,60,66,43,Sydney  New South Wales  Australia,July 28  2013,4
KFC,180 Princes Hwy St Peters Sydney New South Wales 2044 Australia,Christian G,Slow service and a dirty restaurant,I went to KFC after staying in the area  it was just before 6pm  the first thing that hit me upon entering this KFC was how dirty it was  there was food and wrappers on the floor and a number of the tables had not been cleaned down and had rubbish left on them  As it was raining there was... read more,18,0,9,Wollongong  Australia,1 week ago,2
KFC,180 Princes Hwy St Peters Sydney New South Wales 2044 Australia,Hazy2000,Slow service and a dirty restaurant,I went to KFC after staying in the area  it was just before 6pm  the first thing that hit me upon entering this KFC was how dirty it was  there was food and wrappers on the floor and a number of the tables had not been cleaned down and had rubbish left on them  As it was raining there was...   More,69,34,26,St Peters  Sydney,1 week ago,2
KFC,180 Princes Hwy St Peters Sydney New South Wales 2044 Australia,Solomone K,3rd bad KFC in a row  I'm KFC customer no more,After 2 recently bad visits to KFC elsewhere in Australia in the last 2 weeks I thought surely it can't happen a 3rd time...but I was wrong. I ordered a street feast pack and they forgot the chicken tenders but instead they gave me 2 extra chicken nuggets... if they knew they didn't have them they could have told me...   More,1,0,0,Wollongong  Australia,26 October 2015,1
KFC,180 Princes Hwy St Peters Sydney New South Wales 2044 Australia,Doreen V,Excellent service,I had read a lot about this KFC and its review I didn't expect much but after today's visit at 1:30pm I had some of the best service in my life I caught his name "Moana" if u are their when he is working ur meal will be served in under 2 mins. He is really friendly and looks like...   More,34,8,4,Chiang Mai  Thailand,12 September 2015,5
KFC,180 Princes Hwy St Peters Sydney New South Wales 2044 Australia,Rob N,Dirty and smelly.,Dirty and smelly. Chair  floor were dirty and smelled like urine. Music was too loud and when I complained about it  nothing was done. Chips were cold. Staff were uninterested in giving service.,7,1,6,,31 August 2015,2
KFC,180 Princes Hwy St Peters Sydney New South Wales 2044 Australia,Gary G,Just gets worse,KFC used to be a special tasty family treat  but not any more. I try different stores about once a year to see if it improves  but it just gets worse. Had a very expensive 3 piece feed  when all I wanted was the chicken. It was tough  greasy and tasteless. It appears the Colonel has lost the secret receipe...   More,16,7,10,Melbourne  Australia,26 July 2015,1
Clovelly Hotel,381 Clovelly Road | Clovelly Sydney New South Wales Australia,Bondi79,Good food  cold service,Enjoy watching live sport here as usually grab some food  and I actually really like the dishes I have had. Burger was spot on. The service is cold and disinterested and having been there quite a few times  it is definitely a running problem. Will go somewhere else to watch sport now though as need... read more,6,1,6,Sydney  Australia,2 days ago,2
Clovelly Hotel,381 Clovelly Road | Clovelly Sydney New South Wales Australia,PBBronte,Good food  cold service,Enjoy watching live sport here as usually grab some food  and I actually really like the dishes I have had. Burger was spot on. The service is cold and disinterested and having been there quite a few times  it is definitely a running problem. Will go somewhere else to watch sport now though as need a break from the rude...   More,2,0,0,Coogee  Randwick,2 days ago,2
