Organization,Address,Reviewer,Review Title,Review,Review Count,Helpful Count,Restaurant Count,Location,Rating Date,Rating
Nippon Club,229 Macquarie Street Sydney New South Wales Australia,SCochrane,Odd Place  may suit the recluse,Was here recently for a works lunch. Friendly on entry - that's always a plus. However it was a like a tomb inside. Menu offering was rubbish  chose from about 7/8 pre determined dishes  no sides  no starters - no freedom really. Prices reasonable  and if you were looking for a hideout where your workmates won't see you having a...   More,35,14,28,Sydney  New South Wales,26 June 2014,2
Nippon Club,229 Macquarie Street Sydney New South Wales Australia,JohnLevingston,Outstanding Japanese,A little bit hard to find  closed on weekends and not the fanciest restaurant but the food more than makes up for it. The menu is pretty straightforward but everything I've had here is awesome - sushi and nigiri  set meals  tempura  chicken kara age and best of all chicken katsu curry. The prices are reasonable and the drinks are...   More,135,71,76,Sydney  New South Wales,9 April 2013,5
Nippon Club,229 Macquarie Street Sydney New South Wales Australia,elyssa10,Japanese cuisine at lunchtime,This is a good Japanese cuisine restaurant in Macquarie Street Sydney which offers an excellent lunchtime service. It is a bit hard to find as it's entrance is next to the newsagent and the entrance to the William Bland Centre. It is a club  but visitors are welcome and sign the visitors book for entry. The food is excellent with...   More,14,11,0,Rozelle  Sydney,10 November 2012,4
Nippon Club,229 Macquarie Street Sydney New South Wales Australia,cpr2exs,AMAZING!,Went here with a friened after reading a review online. After one visit  it has become one of my new favourite restaurants. The dinning area isnt all that great  but its the amazing food that will have me coming back for more  and the service was fantastic. Defiantly a place to visit if you are after tasty Japanese food!,132,50,70,Newtown  Sydney,21 August 2011,5
Nippon Club,229 Macquarie Street Sydney New South Wales Australia,Bigwoody1,cheap and good jap food,if you don't mind the gaming machines and the dank and dark basement  be surprised by the cheap and good jap food. very crowded lunch times esp on friday.,1,0,0,Sydney  New South Wales,9 July 2010,3
Nippon Club,229 Macquarie Street Sydney New South Wales Australia,AussieTipper,Fantastic authentic Authentic Japanese,Ive been going here for years.. Food is great !! best japanese in Sydney  and im half japanese so have tried most aaround Sydney.. Value for money  you wont find better in town !! Friendly  authentic service. Great for a casual dinner and a drink  a must try !!!,1,1,0,Sydney  New South Wales,18 June 2009,5
Cafe Ella,274 Abercrombie Street Sydney New South Wales Australia,Binson1987,Delicious and affordable,We stumbled upon this gem and so glad we did! Awesome chairs upstairs where we enjoyed a giant chicken salad  a lentil dish and fresh juice. Definitely recommend as the staff were also lovely.,3,0,3,Drummoyne  Sydney,27 May 2015,4
Cafe Ella,274 Abercrombie Street Sydney New South Wales Australia,Gareth D,From bean to cup...a foul up,Pretty poor form from forgetting coffees to forgrtting our order and getting really really crap service when asked about food.,35,31,9,Sydney  New South Wales,17 October 2015,1
Cafe Ella,274 Abercrombie Street Sydney New South Wales Australia,Marion G,Blueberry Bagel Roulette,This cafe does the worlds best blueberry bagel.... if you are lucky enough to get one fresh  it is truly a magical treat. However  so much of the time they pass you off with yesterdays stale version - so disappointing.,104,16,70,Sydney  New South Wales,15 August 2015,2
Cafe Ella,274 Abercrombie Street Sydney New South Wales Australia,playrelax,Delicious and affordable,We stumbled upon this gem and so glad we did! Awesome chairs upstairs where we enjoyed a giant chicken salad  a lentil dish and fresh juice. Definitely recommend as the staff were also lovely.,13,18,6,Stanmore  Sydney,27 May 2015,4
Cafe Ella,274 Abercrombie Street Sydney New South Wales Australia,Tim L,Great Local Cafe,I often work close to Ella's  & am grabbing something to take away often for my work mates as well. You can ring ahead so it's ready to pick up if pushed for time. They have the best Chai I have ordered anywhere (lovingly  it takes time to steep) Also often grab a vegan foccacia or muffin  their burgers are...   More,34,5,16,Newtown  Sydney,17 May 2015,4
Cafe Ella,274 Abercrombie Street Sydney New South Wales Australia,Virginia G,Best bagels around,Great spot for morning coffee and breakfast but of particular note are the bagels  boiled and baked on the premises. Can't go past the toasted blueberry bagel with a side of fresh ricotta.,81,51,46,Rozelle  Sydney,16 May 2015,4
Cafe Ella,274 Abercrombie Street Sydney New South Wales Australia,miles_wa,A favourite with locals in Redfern,I really enjoy Cafe Ela. It has great food as well as sweet treats. The charm comes from it's brid and brac fit out  complete with a book case of vinyl records that have nothing to do with anything. You could however die waiting to be served  which I just never understand as when the food and coffee finally come...   More,64,41,29,Sydney  New South Wales,6 March 2015,4
The Birkenhead Bistro,206 Lyons Rd Drummoyne Sydney New South Wales 2047 Australia,James P,Lunch,Excellent cafe with its modern decor  great views  excellent menu and food  the coffee is also a stand out  outstanding service by staff. Lots of parking. I will visit again.,10,1,9,Drummoyne  Sydney,14 November 2015,4
The Birkenhead Bistro,206 Lyons Rd Drummoyne Sydney New South Wales 2047 Australia,Dean S,Gone downhill,We took the kids to the Birkenhead Hotel bistro last night. We were joined by two other families  so in total we were a group of 13 including the kids. We have eaten at this bistro many times in the past and have always found it to be very reasonable and family friendly. But I just don't know what's happened...   More,11,2,9,Drummoyne  Sydney,15 November 2015,2
The Birkenhead Bistro,206 Lyons Rd Drummoyne Sydney New South Wales 2047 Australia,Sb0s,Lunch,Excellent cafe with its modern decor  great views  excellent menu and food  the coffee is also a stand out  outstanding service by staff. Lots of parking. I will visit again.,33,34,17,Sydney  Australia,14 November 2015,4
Le Beach Hut,179 Russell Ave Dolls Point NSW 2219 | Homebush Sydney New South Wales Australia,Meghraj B,Le Beach Hut very good,Delicious authentic food and reasonably priced. We were there early for our children so minimal atmosphere but the place was nicely decked out for a function.,2,0,0,Miranda  Australia,29 April 2014,5
Le Beach Hut,179 Russell Ave Dolls Point NSW 2219 | Homebush Sydney New South Wales Australia,Julian4077,Bad service,Place itself is very nice but the owner and staff are terrible  they don't know a thing about hospitality  manner and respect.... they must be just lucky that they own that beautiful place with that rudeness and attitude... I wont recommend arunbimali@hotmail.com if needed more info,35,24,14,Sydney  New South Wales,15 June 2015,2
Le Beach Hut,179 Russell Ave Dolls Point NSW 2219 | Homebush Sydney New South Wales Australia,t4g,Le Beach Hut very good,Delicious authentic food and reasonably priced. We were there early for our children so minimal atmosphere but the place was nicely decked out for a function.,4,2,0,Sydney  New South Wales,29 April 2014,5
Ramen o-San,Dixon and Little Hay Street | Shop B01 Dixon House Food Court Corne Sydney New South Wales 2000 Australia,MC_snapshotsoffood,Snapshots of Food reviewed Ramen O-san,Hidden away in Dixon Street  Chinatown is a small food court which many of the regular visitors know about. Inside the food court is a newly opened Ramen O-san!,53,4,52,Sydney  Australia,1 week ago,3
Ramen o-San,Dixon and Little Hay Street | Shop B01 Dixon House Food Court Corne Sydney New South Wales 2000 Australia,SarahYLTS,Snapshots of Food reviewed Ramen O-san,Hidden away in Dixon Street  Chinatown is a small food court which many of the regular visitors know about. Inside the food court is a newly opened Ramen O-san!,35,5,33,Sydney  New South Wales,1 week ago,3
Ramen o-San,Dixon and Little Hay Street | Shop B01 Dixon House Food Court Corne Sydney New South Wales 2000 Australia,hungrybonvivant,Below expectations!,Doesn't live up to the hype. I tried the tonkotsu ramen The texture of the noodles was hard not firm . The broth was indeed rich but bland and definitely not tasty. The amount of food given was not worth the $9.80 as it looks like only half a bowl full (see photo). But I guess it's OK since it's...   More,12,14,12,Sydney  New South Wales,18 October 2015,3
Infusion Asian Restaurant @ Bar 333,333 George Street Sydney New South Wales 2000 Australia,Nicole S,Good food. Good value. Average service.,This restaurant caught our eye as it looked nice and had a menu that was well priced. The meals were tasty  however the experience was tainted by one female member of the waitstaff. As visitors to Sydney  we were disappointed by her rudeness. We did complain to the food and beverage manager and to... read more,12,5,5,Brisbane  Australia,30 June 2013,3
Infusion Asian Restaurant @ Bar 333,333 George Street Sydney New South Wales 2000 Australia,hungry c,Good food. Good value. Average service.,This restaurant caught our eye as it looked nice and had a menu that was well priced. The meals were tasty  however the experience was tainted by one female member of the waitstaff. As visitors to Sydney  we were disappointed by her rudeness. We did complain to the food and beverage manager and to his credit  he did his best...   More,117,37,92,Sydney  New South Wales,30 June 2013,3
Infusion Asian Restaurant @ Bar 333,333 George Street Sydney New South Wales 2000 Australia,at96,The venue lacks personality  but the food is very good,A little bland in atmosphere  but filled with people for a Friday lunch - who is to notice. The food is delicious  delicate in Asian flavour and a good cross section of fresh produce. Either the duck curry  or duck pancakes are always a favourite. The barramundi is also fresh and tasty.,17,5,9,Chatswood  Willoughby,15 March 2013,4
Infusion Asian Restaurant @ Bar 333,333 George Street Sydney New South Wales 2000 Australia,Eyeball09,excellent food,came here for a lunch with colleagues. the food was really good. we had the massaman curry and wild barramundi  loved it. we went dung a quiet time which was perfect for conversation.,75,58,24,Sydney  New South Wales,1 October 2012,5
Infusion Asian Restaurant @ Bar 333,333 George Street Sydney New South Wales 2000 Australia,Renee I,Only had house wines available and food overcooked,Awesome atmosphere but the Asian platter was overcooked and near unpalatable. We visited on a Saturday night and unbelievably out of their ENTIRE wine list the ONLY wines available was the house red or white!!,2,4,0,Sydney  New South Wales,15 May 2012,2
Infusion Asian Restaurant @ Bar 333,333 George Street Sydney New South Wales 2000 Australia,BneTravellor,depressed staff,i didnt eat at infusion i ate at the bar/ downstairs part of bar 333 for some reason it only comes up with infusion asian restaurant. this was a lovely venue with a chilled out vibe and was perfect just for some drinks with friends the food was affordable with a good choice in the menu and had some great...   More,45,17,20,Sydney  New South Wales,10 May 2012,2
Infusion Asian Restaurant @ Bar 333,333 George Street Sydney New South Wales 2000 Australia,Bobcat17,Excellent food - pity about the Maitre d,It is such a pity when an otherwise excellent experience is spoilt by one stuffy person. Wait staff were so helpful - prices on the high side but OK - atmosphere good - but Maitre d is doing you such a favour!,79,27,64,Sydney  New South Wales,6 May 2012,4
Madeira Grill Restaurant,Shop 3 82-86 New Canterbury Rd Petersham Sydney New South Wales 2049 Australia,Desiree M,Fairly good,A bit of a hit or miss experience  depending on what time you arrive. The service is exemplary when not busy. Food is tasty & traditional Portuguese fare.,30,20,6,Sydney  Australia,2 June 2014,3
Madeira Grill Restaurant,Shop 3 82-86 New Canterbury Rd Petersham Sydney New South Wales 2049 Australia,Polley01,Underwhelmed,We ordered a mixed meats dish to share (its for minimum two people). It came with chips and salad. There wasn't enough chips or salad for three people. The food wasnt very nice and I wouldnt recommend eating here.,107,48,55,Petersham  Sydney,15 March 2015,2
Madeira Grill Restaurant,Shop 3 82-86 New Canterbury Rd Petersham Sydney New South Wales 2049 Australia,Fusspot-Traveller,A family favorite,We have at Madeira Grill for the past 5 years and it never fails to deliver delicious Portuguese food cooked beautifully. The eschpadata was medium rare  salty and tender. I had the vongole in mustard and lemon sauce. The paella is big enough for 2 big eaters. We turned up workout a booking late on Friday night and they we...   More,104,62,50,Petersham  Sydney,8 November 2014,5
Madeira Grill Restaurant,Shop 3 82-86 New Canterbury Rd Petersham Sydney New South Wales 2049 Australia,anneb24412,Fairly good,A bit of a hit or miss experience  depending on what time you arrive. The service is exemplary when not busy. Food is tasty & traditional Portuguese fare.,106,35,61,Petersham  Sydney,2 June 2014,3
Madeira Grill Restaurant,Shop 3 82-86 New Canterbury Rd Petersham Sydney New South Wales 2049 Australia,Fusspot-Traveller,Good food  well priced,The food here is great portugese cuisine  the prices are very affordable and the service is attentive. The veal skewer was perfectly cooked and big enough to share with a couple of extra sides. the desserts are homemade and so good  the chocolate mouse is smooth and rich. This is going to be a regular haunt for us.,104,62,50,Petersham  Sydney,28 August 2012,4
Johnny Wong's Dumpling Bar,383 Bourke St Sydney New South Wales 2010 Australia,holster888,The dumplings were great but the wait was way too long!,From the moment we walked in the staff was not helpful one bit. It was unclear of where to order and whether we were to wait to be seated. We waiter for our dumplings for 1 hour and 20 minutes after twice inquiring about our order. Clearly our order didn't go through due to a mistake made by one... read more,10,7,3,Sydney  Australia,16 April 2014,2
Johnny Wong's Dumpling Bar,383 Bourke St Sydney New South Wales 2010 Australia,Jlo20392,Great dumplings and awesome service,Came to Johnny Wong's because the restaurant across the road had stopped serving food  I'm glad we did because the food was great and the service was also great. We had the pork buns  chicken dim sims  pork dumplings  and wong iced tea  everything was delicious and served quickly. The waitress was lovely and always checking up on us to...   More,4,3,3,Rozelle  Sydney,14 November 2015,5
Johnny Wong's Dumpling Bar,383 Bourke St Sydney New South Wales 2010 Australia,Ndzw,Overpriced and average!,Was very disappointed when we came here for dumplings  the $1 dumplings finishes at 9pm  that would have been a more accurate price for these dumplings. Wouldn't go back,1,0,0,Sydney  New South Wales,10 January 2015,1
Hello Sailor,96 Oxford Street Sydney New South Wales 2010 Australia,nickwastaken,Fun yet....SKETCHY!!!,We decided to go there one night after a nice dinner and quickly realized that this place had some extremely strange people. We were offered drugs at every turn and every time I went to the bathroom  people were also doing drugs. The music on the other hand was actually pretty good and the... read more,30,8,17,Orlando  Florida,13 September 2015,3
Hello Sailor,96 Oxford Street Sydney New South Wales 2010 Australia,Protocol5,Have You Tried The Lobster Burger?!,Up top it's a fantastic diner with Lobster Burgers that are truly delicious on another level. Down in the basement  however  is a really trendy and pumping nautical themed bar. Pia Coladas made to order as well as other awesome cocktails. What more could you want.,4,2,0,Sydney  New South Wales,20 October 2015,4
Hello Sailor,96 Oxford Street Sydney New South Wales 2010 Australia,Lydia C,Good place. Bad service.,Came here to meet some friends at the bar downstairs. Walked in and first impression was good music  good crowd  good atmosphere. I went to order a round of 3 cocktails and a gin and tonic. Realized I didn't have quite enough cash...whoops. Saw a credit card machine and asked if I could pay by card and got a really...   More,2,0,0,Stanmore  Sydney,11 October 2015,1
Hello Sailor,96 Oxford Street Sydney New South Wales 2010 Australia,Steve R,Such a good night!!!,I had b'day drinks here last week & had the best fun. The cocktails were great  we even told the bartender about a cocktail we had in Mexico and he made it perfectly. Great music on Saturday with a shrug on  old school fun music  helped us dance our butts off! We'll be back!,1479,1293,520,Drummoyne  Sydney,24 September 2015,5
Hello Sailor,96 Oxford Street Sydney New South Wales 2010 Australia,Simon W,Fun yet....SKETCHY!!!,We decided to go there one night after a nice dinner and quickly realized that this place had some extremely strange people. We were offered drugs at every turn and every time I went to the bathroom  people were also doing drugs. The music on the other hand was actually pretty good and the drinks were decent. But the place...   More,108,34,33,Sydney  New South Wales,13 September 2015,3
Fideli's Bar & Restaurant,Grace Hotel | 77 York Street Sydney New South Wales Australia,JCM81,High Tea was OK,I purchased a coupon deal for High Tea at Fideli's at the Grace Hotel. It was actually quite difficult to make a booking  they didn't respond to my initial emails. I finally got a response with two emails received on the same day - one saying the venue was full and they only had weekdays... read more,156,133,72,Sydney  Australia,6 November 2012,3
Fideli's Bar & Restaurant,Grace Hotel | 77 York Street Sydney New South Wales Australia,AtticusFinch14,Was that a serve of attitude with your meal - Sir?,Being in Sydney on business and staying at the Grace Hotel in York Street  I did not feel like venturing out  so Fedeli's Bar and Restaurant on the ground floor seemed like a good option....mmmm  well maybe not or is Tuesday the wrong day to eat there? I ordered a wine and it was there quickly  but I like to...   More,107,145,54,Sydney  New South Wales,23 January 2013,2
Fideli's Bar & Restaurant,Grace Hotel | 77 York Street Sydney New South Wales Australia,Dorrays,Great Breakfasts,We ate breakfast a couple ot times here whilst in Sydney as it was right next door to our hotel. The food was great as was the service. I've seen a couple of other reviews saying it was expensive but i think the prices are the same as similar places in Sydney. The fact is Sydney is just quite expensive....   More,168,54,123,Sydney  New South Wales,13 January 2013,5
Fideli's Bar & Restaurant,Grace Hotel | 77 York Street Sydney New South Wales Australia,Dekoven,This IS the place to be from 5 -7 pm!!!
Happy Hour is the BEST in Sydney!!!,We searched for Martinis in Sydney... this IS the place to get them!!! Sijan delivers!!!!! He will make your night "SPECIAL"!!!! You will not be disappointed...he KNOWS how to take care of you...you deserve it!!!!!,50,45,26,Sydney  New South Wales,14 November 2012,5
Fideli's Bar & Restaurant,Grace Hotel | 77 York Street Sydney New South Wales Australia,shankark,High Tea was OK,I purchased a coupon deal for High Tea at Fideli's at the Grace Hotel. It was actually quite difficult to make a booking  they didn't respond to my initial emails. I finally got a response with two emails received on the same day - one saying the venue was full and they only had weekdays available and the second confirming...   More,69,45,16,Sydney  New South Wales,6 November 2012,3
Fideli's Bar & Restaurant,Grace Hotel | 77 York Street Sydney New South Wales Australia,Mardi S,Pricey,I just stopped there for a cup of tea and tart. Found the price ok for tea but the tart was a bit steep in my view.,62,47,29,Sydney  New South Wales,16 October 2012,3
Fideli's Bar & Restaurant,Grace Hotel | 77 York Street Sydney New South Wales Australia,missskybird,worst breakfast ever,We were recently in Sydney and went to Fideli's for breakfast because it was conveniently situated between our hotel on Darling Harbour and the shopping district. From the start  it was clear the staff had absolutely no clue what they were doing. There were three of us  so we found a nice table near the window  which needed clearing  but...   More,243,116,58,Sydney  New South Wales,11 October 2012,1
The Ox Cafe & Ristorante,31 Oxford Street Sydney New South Wales Australia,KerryMarieParker,Food is tasty  unfortunately no other positives,The food is actually very tasty and the portions are good  unfortunately that is the best I can say about this cafe. They don't seem to have researched the area and are catering for Oxford St traffic. There is a whole community of customers living around them  that is who will ultimately make or... read more,22,6,5,Sydney  Australia,5 May 2014,3
The Ox Cafe & Ristorante,31 Oxford Street Sydney New South Wales Australia,caramelatte,Food is tasty  unfortunately no other positives,The food is actually very tasty and the portions are good  unfortunately that is the best I can say about this cafe. They don't seem to have researched the area and are catering for Oxford St traffic. There is a whole community of customers living around them  that is who will ultimately make or break this place. The cafe is...   More,10,12,0,Stanmore  Sydney,5 May 2014,3
The Ox Cafe & Ristorante,31 Oxford Street Sydney New South Wales Australia,Ruian,Good value,The good old falconer is gone and this what seems like a family owned restaurant took its place. The coffee is too bitter for my liking and the milk is formed roughly which I felt isn't meeting the neighborhood standard. However the food serving is generous for the price you pay. The wait staff struggled taking order as she didn't...   More,19,31,10,Rozelle  Sydney,9 November 2013,3
The Captains Balcony,46 Erskine Street Sydney New South Wales 2000 Australia,Matthew B,Hidden gem,I quiet little hide away right in the busy central business district. Great selection of drinks  served with yummy nibbles and with friendly staff  pop along sometime :),3,1,3,London  United Kingdom,3 weeks ago,5
The Captains Balcony,46 Erskine Street Sydney New South Wales 2000 Australia,Riddoch88,Hidden gem,I quiet little hide away right in the busy central business district. Great selection of drinks  served with yummy nibbles and with friendly staff  pop along sometime :),481,232,286,Sydney  New South Wales,3 weeks ago,5
The Captains Balcony,46 Erskine Street Sydney New South Wales 2000 Australia,Emily W,So so,Disappointingly limited wine list  but pleasant enough ambience for a meeting place before you head elsewhere. Beware the precipitous stairs if you head to the first floor. Can't comment on the food.,3,8,0,Sydney  New South Wales,2 January 2016,3
The Captains Balcony,46 Erskine Street Sydney New South Wales 2000 Australia,Emily W,Food is Amazing!!,I went to the balcony bar for lunch and had there new chicken burger. It is SO delicious you must come in and try it. I had a sav b with it as you get a house beverage with you lunch order. I recommend this venue for everyone that wants to try something new. P.S they have great cocktails there...   More,43,23,25,Newtown  Sydney,28 November 2015,5
The Captains Balcony,46 Erskine Street Sydney New South Wales 2000 Australia,JESSlouise28,Cute bar,Very cute bar with very good cocktails! We were given food menus and wanted to try some of their delicious sounding nibbles but unfortunately they could only do the cheese plate or dips the night we were there (?). Staff seemed out of their depth  we were the only patrons for the whole time we were there  but 8 people...   More,3,1,0,Sydney  New South Wales,15 September 2015,4
Royal Bar & Grill,237 Glenmore Rd Royal Hotel Sydney New South Wales 2021 Australia,fivestarsandbeyond,Could do better,great location and good face lift but the staff need to remember that they are they to help out the clients not to socialise and check themselves out in mirrors. Eye contact seems to be an allergy for them,90,51,64,Sydney,6 May 2015,3
Royal Bar & Grill,237 Glenmore Rd Royal Hotel Sydney New South Wales 2021 Australia,Melanie R,Could do better,great location and good face lift but the staff need to remember that they are they to help out the clients not to socialise and check themselves out in mirrors. Eye contact seems to be an allergy for them,260,110,139,Sydney  New South Wales,6 May 2015,3
Royal Bar & Grill,237 Glenmore Rd Royal Hotel Sydney New South Wales 2021 Australia,Paddingtontraveller,Great place for a drink and a light meal  excellent views from rooftop,We were here on a Friday afternoon and decided to stop for a drink and late lunch. We went up to the rooftop and were the only ones up there. The views were lovely and the menu is nice. We were served quickly and the meals were brought up to us. There were all deliciuos and well priced. I really...   More,74,58,22,Sydney  New South Wales,9 December 2013,4
Royal Bar & Grill,237 Glenmore Rd Royal Hotel Sydney New South Wales 2021 Australia,higvin,Good pub food,Good pub food for locals and visors who happen to be in the area - we really like it - however I wouldn't make a trek to come here for the food.,459,165,372,Stanmore  Sydney,14 September 2012,3
Royal Bar & Grill,237 Glenmore Rd Royal Hotel Sydney New South Wales 2021 Australia,AxeMinion,Delightful Paddington pub,A delightful old Sydney pub (built in 1888) in the middle of Paddington at Five Ways. The real point of this establishment is the first floor verandah overlooking Five Ways  Paddington and the city beyond. Good pub food and one of the more charming places to spend a warm Sydney evening.,26,3,21,Sydney  New South Wales,25 December 2011,4
Yok Yor,241 Crown St | Shop 3 Sydney New South Wales 2010 Australia,lydiaSingapore,Food at affordable price,This place was located a little away from central. The restaurant is not too big. Where you sit  you can see the kitchen staff preparing your food. They have quite some variety of food to choose from. I ordered a Pa Thai and a small beef boat noodles . The beef in boat noodles were tender but soup... read more,92,85,17,singapore,15 July 2015,3
Yok Yor,241 Crown St | Shop 3 Sydney New South Wales 2010 Australia,Patty S,Food at affordable price,This place was located a little away from central. The restaurant is not too big. Where you sit  you can see the kitchen staff preparing your food. They have quite some variety of food to choose from. I ordered a Pa Thai and a small beef boat noodles . The beef in boat noodles were tender but soup is rather...   More,13,6,13,Sydney  New South Wales,15 July 2015,3
Yok Yor,241 Crown St | Shop 3 Sydney New South Wales 2010 Australia,BennyWombatBoy,Good food but slow service,I have been having food there a few time since they've been opened. The food was great but the service is always slow.,9,2,4,Newtown  Sydney,19 February 2015,3
Anastasia's Restaurant,288 Oxford St Sydney New South Wales 2021 Australia,lynn19,great value in the middle of paddington,great value in the middle of paddington,45,10,17,Stanmore  Sydney,28 January 2008,3
Anastasia's Restaurant,288 Oxford St Sydney New South Wales 2021 Australia,Getassha,Oxford Street surprise,Just called in off the street  whilst shopping and was quietly surprised by the food and service. We stayed for lunch and enjoyed a quiet  relaxing family time. Another place that welcomes young children. The food was spicy and like lots of Sydney cafes had great banana bread!,80,42,20,Sydney  New South Wales,17 January 2014,4
Anastasia's Restaurant,288 Oxford St Sydney New South Wales 2021 Australia,undercoverelephant,Unexpected Discovery,We were looking for a place to have lunch after going to Paddington Market and came across Anastasia's. We had the Caesar Salad with Avocado (which was fresh!) and also a special item on the menu for that day  which was the Hot Polpette with Turkish bread. The hot polpette was amazing! And I really enjoyed it. The service staff...   More,300,707,190,Sydney  New South Wales,12 July 2013,4
Anastasia's Restaurant,288 Oxford St Sydney New South Wales 2021 Australia,Sanjay_GT,A little surprise,I stopped here by chance. Nestled away on oxford street near the paddo inn. The menu is varied as well as the daily specials. The food was good  and well cooked Friendly owner. Recommend See my other reviews if you are not sure,94,81,24,Sydney  New South Wales,19 June 2013,4
Anastasia's Restaurant,288 Oxford St Sydney New South Wales 2021 Australia,Tobesure,Passable,Quite poor  if you consider how costly the food is. Looks a bit shady. Atmost the coffee is acceptable.,25,15,10,Sydney  New South Wales,22 January 2013,2
Anastasia's Restaurant,288 Oxford St Sydney New South Wales 2021 Australia,Philip_Ward,This place needs to shape up,We didn't actually eat here because we ended up cancelling our order due to the absolutely disgusting smell and state of the bathroom. The waitress showed me down to the bathroom which required a key  and showed me in. I gagged immediately and had to remind myself that I was in Sydney not Thailand and that a smell (sewage) as...   More,178,140,115,Drummoyne  Sydney,6 November 2012,1
Lime cafe,55 Shelley Street Sydney New South Wales 2000 Australia,Mike F,Great spot for an evening,Good simple food  great service  nice ambiance  good for afterwork meetings or after-afterwork drinks,97,45,41,Bromsgrove  United Kingdom,9 June 2015,4
Lime cafe,55 Shelley Street Sydney New South Wales 2000 Australia,Sergiosydney,Great spot for an evening,Good simple food  great service  nice ambiance  good for afterwork meetings or after-afterwork drinks,104,39,58,Sydney  New South Wales,9 June 2015,4
Lime cafe,55 Shelley Street Sydney New South Wales 2000 Australia,maxine m,The best Bacon and Egg Roll in Sydney,I eat in this place for years. They Have the very good Breakfast choices at reasonable prices. This Place is always full of Patrons. They never forget your Name and it makes you fell very Welcome.,3,0,0,Sydney  New South Wales,11 September 2013,5
